pathway_id	pathway	pathway_score	geomean	min_edge_score	n_edges	grade_A	grade_B	grade_C	grade_D	edge_details
18	Unique Path #18 (Original #29): EGFR → PTPN11 → GAB1	0.91	0.915	0.9	2	2	0	0	0	Unique Path #18 (Original #29): EGFR→PTPN11[A:0.90]; PTPN11→GAB1[A:0.93]
48	Unique Path #48 (Original #145): EGFR → SHC1 → IGF1R	0.91	0.915	0.9	2	2	0	0	0	Unique Path #48 (Original #145): EGFR→SHC1[A:0.90]; SHC1→IGF1R[A:0.93]
20	Unique Path #20 (Original #32): EGFR → PTPN11	0.9	0.9	0.9	1	1	0	0	0	Unique Path #20 (Original #32): EGFR→PTPN11[A:0.90]
24	Unique Path #24 (Original #39): EGFR → SHC1	0.9	0.9	0.9	1	1	0	0	0	Unique Path #24 (Original #39): EGFR→SHC1[A:0.90]
43	Unique Path #43 (Original #118): EGFR → SHC1 → SRC → BCAR1 → PTK2	0.64	0.751	0.38	4	3	0	1	0	Unique Path #43 (Original #118): EGFR→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→BCAR1[A:0.95]; BCAR1→PTK2[A:0.98]
25	Unique Path #25 (Original #40): EGFR → SHC1 → SRC → PXN → GIT1	0.633	0.741	0.38	4	3	0	1	0	Unique Path #25 (Original #40): EGFR→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→PXN[A:0.90]; PXN→GIT1[A:0.98]
35	Unique Path #35 (Original #72): EGFR → SHC1 → SRC → PXN → PTK2	0.633	0.741	0.38	4	3	0	1	0	Unique Path #35 (Original #72): EGFR→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→PXN[A:0.90]; PXN→PTK2[A:0.98]
22	Unique Path #22 (Original #36): EGFR → SHC1 → GRB2 → VAV1 → SYK	0.626	0.731	0.38	4	3	0	1	0	Unique Path #22 (Original #36): EGFR→SHC1[A:0.90]; SHC1→GRB2[A:0.93]; GRB2→VAV1[C:0.38]; VAV1→SYK[A:0.90]
28	Unique Path #28 (Original #50): EGFR → SHC1 → GRB2 → LCP2 → SYK	0.626	0.731	0.38	4	3	0	1	0	Unique Path #28 (Original #50): EGFR→SHC1[A:0.90]; SHC1→GRB2[A:0.93]; GRB2→LCP2[C:0.38]; LCP2→SYK[A:0.90]
39	Unique Path #39 (Original #90): EGFR → SOS1 → PTK2 → BCAR1	0.601	0.695	0.38	3	2	0	1	0	Unique Path #39 (Original #90): EGFR→SOS1[C:0.38]; SOS1→PTK2[A:0.95]; PTK2→BCAR1[A:0.93]
49	Unique Path #49 (Original #153): EGFR → SOS1 → PTK2 → PXN	0.601	0.695	0.38	3	2	0	1	0	Unique Path #49 (Original #153): EGFR→SOS1[C:0.38]; SOS1→PTK2[A:0.95]; PTK2→PXN[A:0.93]
19	Unique Path #19 (Original #31): EGFR → SHC1 → SOS1 → PTK2	0.595	0.687	0.38	3	2	0	1	0	Unique Path #19 (Original #31): EGFR→SHC1[A:0.90]; SHC1→SOS1[C:0.38]; SOS1→PTK2[A:0.95]
31	Unique Path #31 (Original #56): EGFR → SHC1 → SRC → BCAR1	0.595	0.687	0.38	3	2	0	1	0	Unique Path #31 (Original #56): EGFR→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→BCAR1[A:0.95]
47	Unique Path #47 (Original #132): EGFR → PTPN11 → SOS1 → PTK2	0.595	0.687	0.38	3	2	0	1	0	Unique Path #47 (Original #132): EGFR→PTPN11[A:0.90]; PTPN11→SOS1[C:0.38]; SOS1→PTK2[A:0.95]
9	Unique Path #9 (Original #11): EGFR → SHC1 → GRB2 → ERBB4	0.592	0.683	0.38	3	2	0	1	0	Unique Path #9 (Original #11): EGFR→SHC1[A:0.90]; SHC1→GRB2[A:0.93]; GRB2→ERBB4[C:0.38]
17	Unique Path #17 (Original #28): EGFR → SHC1 → GRB2 → ERBB2	0.592	0.683	0.38	3	2	0	1	0	Unique Path #17 (Original #28): EGFR→SHC1[A:0.90]; SHC1→GRB2[A:0.93]; GRB2→ERBB2[C:0.38]
51	Unique Path #51 (Original #188): EGFR → SOS1 → PTPN11 → GAB1	0.592	0.683	0.38	3	2	0	1	0	Unique Path #51 (Original #188): EGFR→SOS1[C:0.38]; SOS1→PTPN11[A:0.90]; PTPN11→GAB1[A:0.93]
52	Unique Path #52 (Original #217): EGFR → SOS1 → PTK2 → SRC → SYK	0.589	0.678	0.38	4	2	1	1	0	Unique Path #52 (Original #217): EGFR→SOS1[C:0.38]; SOS1→PTK2[A:0.95]; PTK2→SRC[B:0.65]; SRC→SYK[A:0.90]
1	Unique Path #1 (Original #1): EGFR → SHC1 → SRC → PXN	0.587	0.675	0.38	3	2	0	1	0	Unique Path #1 (Original #1): EGFR→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→PXN[A:0.90]
2	Unique Path #2 (Original #2): EGFR → SHC1 → SRC → SYK	0.587	0.675	0.38	3	2	0	1	0	Unique Path #2 (Original #2): EGFR→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→SYK[A:0.90]
13	Unique Path #13 (Original #16): EGFR → PTPN11 → SOS1 → SHC1	0.587	0.675	0.38	3	2	0	1	0	Unique Path #13 (Original #16): EGFR→PTPN11[A:0.90]; PTPN11→SOS1[C:0.38]; SOS1→SHC1[A:0.90]
38	Unique Path #38 (Original #89): EGFR → SOS1 → PTK2	0.535	0.601	0.38	2	1	0	1	0	Unique Path #38 (Original #89): EGFR→SOS1[C:0.38]; SOS1→PTK2[A:0.95]
44	Unique Path #44 (Original #121): EGFR → SOS1 → PTK2 → TLN1 → ZYX	0.535	0.601	0.38	4	2	0	2	0	Unique Path #44 (Original #121): EGFR→SOS1[C:0.38]; SOS1→PTK2[A:0.95]; PTK2→TLN1[C:0.38]; TLN1→ZYX[A:0.95]
50	Unique Path #50 (Original #171): EGFR → SOS1 → PTK2 → TLN2 → ZYX	0.535	0.601	0.38	4	2	0	2	0	Unique Path #50 (Original #171): EGFR→SOS1[C:0.38]; SOS1→PTK2[A:0.95]; PTK2→TLN2[C:0.38]; TLN2→ZYX[A:0.95]
4	Unique Path #4 (Original #4): EGFR → ERBB2 → SHC1 → SOS1 → PTK2	0.529	0.593	0.38	4	2	0	2	0	Unique Path #4 (Original #4): EGFR→ERBB2[C:0.38]; ERBB2→SHC1[A:0.90]; SHC1→SOS1[C:0.38]; SOS1→PTK2[A:0.95]
5	Unique Path #5 (Original #5): EGFR → ERBB3 → SHC1 → SOS1 → PTK2	0.529	0.593	0.38	4	2	0	2	0	Unique Path #5 (Original #5): EGFR→ERBB3[C:0.38]; ERBB3→SHC1[A:0.90]; SHC1→SOS1[C:0.38]; SOS1→PTK2[A:0.95]
6	Unique Path #6 (Original #7): EGFR → ERBB2 → SHC1 → SRC → BCAR1	0.529	0.593	0.38	4	2	0	2	0	Unique Path #6 (Original #7): EGFR→ERBB2[C:0.38]; ERBB2→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→BCAR1[A:0.95]
10	Unique Path #10 (Original #12): EGFR → SHC1 → SRC → BCAR1 → DOCK1	0.529	0.593	0.38	4	2	0	2	0	Unique Path #10 (Original #12): EGFR→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→BCAR1[A:0.95]; BCAR1→DOCK1[C:0.38]
11	Unique Path #11 (Original #13): EGFR → ERBB3 → SHC1 → SRC → BCAR1	0.529	0.593	0.38	4	2	0	2	0	Unique Path #11 (Original #13): EGFR→ERBB3[C:0.38]; ERBB3→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→BCAR1[A:0.95]
21	Unique Path #21 (Original #34): EGFR → SOS1 → SHC1 → SRC → BCAR1	0.529	0.593	0.38	4	2	0	2	0	Unique Path #21 (Original #34): EGFR→SOS1[C:0.38]; SOS1→SHC1[A:0.90]; SHC1→SRC[C:0.38]; SRC→BCAR1[A:0.95]
