pathway_id	pathway	pathway_score	geomean	min_edge_score	n_edges	grade_A	grade_B	grade_C	grade_D	edge_details
63	Unique Path #63 (Original #216): EGFR → PTPN11 → GAB2	0.934	0.949	0.9	2	2	0	0	0	Unique Path #63 (Original #216): EGFR→PTPN11[A:0.90]; PTPN11→GAB2[A:1.00]
27	Unique Path #27 (Original #33): EGFR → PTPN11 → GAB2 → GRB2	0.93	0.942	0.9	3	3	0	0	0	Unique Path #27 (Original #33): EGFR→PTPN11[A:0.90]; PTPN11→GAB2[A:1.00]; GAB2→GRB2[A:0.93]
43	Unique Path #43 (Original #71): EGFR → PTPN11 → GRB2	0.91	0.915	0.9	2	2	0	0	0	Unique Path #43 (Original #71): EGFR→PTPN11[A:0.90]; PTPN11→GRB2[A:0.93]
51	Unique Path #51 (Original #89): EGFR → PTPN11	0.9	0.9	0.9	1	1	0	0	0	Unique Path #51 (Original #89): EGFR→PTPN11[A:0.90]
25	Unique Path #25 (Original #31): EGFR → PTPN11 → GAB1 → GRB2	0.76	0.807	0.65	3	2	1	0	0	Unique Path #25 (Original #31): EGFR→PTPN11[A:0.90]; PTPN11→GAB1[B:0.65]; GAB1→GRB2[A:0.90]
55	Unique Path #55 (Original #114): EGFR → PTPN11 → PDGFRB → GRB2	0.76	0.807	0.65	3	2	1	0	0	Unique Path #55 (Original #114): EGFR→PTPN11[A:0.90]; PTPN11→PDGFRB[B:0.65]; PDGFRB→GRB2[A:0.90]
66	Unique Path #66 (Original #231): EGFR → PTPN11 → IRS1 → GRB2	0.76	0.807	0.65	3	2	1	0	0	Unique Path #66 (Original #231): EGFR→PTPN11[A:0.90]; PTPN11→IRS1[B:0.65]; IRS1→GRB2[A:0.90]
39	Unique Path #39 (Original #58): EGFR → PTPN11 → GAB1	0.73	0.765	0.65	2	1	1	0	0	Unique Path #39 (Original #58): EGFR→PTPN11[A:0.90]; PTPN11→GAB1[B:0.65]
5	Unique Path #5 (Original #6): EGFR → SOS1 → PTK2 → GRB2	0.609	0.707	0.38	3	2	0	1	0	Unique Path #5 (Original #6): EGFR→SOS1[C:0.38]; SOS1→PTK2[A:1.00]; PTK2→GRB2[A:0.93]
67	Unique Path #67 (Original #290): EGFR → SOS1 → PTPN11 → GAB2	0.604	0.699	0.38	3	2	0	1	0	Unique Path #67 (Original #290): EGFR→SOS1[C:0.38]; SOS1→PTPN11[A:0.90]; PTPN11→GAB2[A:1.00]
10	Unique Path #10 (Original #12): EGFR → SOS1 → PTPN11 → GRB2	0.592	0.683	0.38	3	2	0	1	0	Unique Path #10 (Original #12): EGFR→SOS1[C:0.38]; SOS1→PTPN11[A:0.90]; PTPN11→GRB2[A:0.93]
9	Unique Path #9 (Original #11): EGFR → PTPN11 → SOS1 → GRB2	0.587	0.675	0.38	3	2	0	1	0	Unique Path #9 (Original #11): EGFR→PTPN11[A:0.90]; PTPN11→SOS1[C:0.38]; SOS1→GRB2[A:0.90]
52	Unique Path #52 (Original #90): EGFR → PTPN11 → FRS2 → GRB2	0.587	0.675	0.38	3	2	0	1	0	Unique Path #52 (Original #90): EGFR→PTPN11[A:0.90]; PTPN11→FRS2[C:0.38]; FRS2→GRB2[A:0.90]
16	Unique Path #16 (Original #21): EGFR → ERBB2 → SRC → CAV1	0.553	0.627	0.38	3	1	1	1	0	Unique Path #16 (Original #21): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→CAV1[A:1.00]
17	Unique Path #17 (Original #22): EGFR → SOS1 → PTK2	0.546	0.616	0.38	2	1	0	1	0	Unique Path #17 (Original #22): EGFR→SOS1[C:0.38]; SOS1→PTK2[A:1.00]
19	Unique Path #19 (Original #24): EGFR → SOS1 → PTPN11 → GAB1	0.538	0.606	0.38	3	1	1	1	0	Unique Path #19 (Original #24): EGFR→SOS1[C:0.38]; SOS1→PTPN11[A:0.90]; PTPN11→GAB1[B:0.65]
22	Unique Path #22 (Original #28): EGFR → ERBB2 → SRC → SHC1	0.538	0.606	0.38	3	1	1	1	0	Unique Path #22 (Original #28): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→SHC1[A:0.90]
35	Unique Path #35 (Original #46): EGFR → ERBB2 → ERBB3 → GRB2	0.538	0.606	0.38	3	1	1	1	0	Unique Path #35 (Original #46): EGFR→ERBB2[C:0.38]; ERBB2→ERBB3[B:0.65]; ERBB3→GRB2[A:0.90]
48	Unique Path #48 (Original #80): EGFR → ERBB2 → SRC → GRB2	0.538	0.606	0.38	3	1	1	1	0	Unique Path #48 (Original #80): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→GRB2[A:0.90]
61	Unique Path #61 (Original #175): EGFR → ERBB2 → CD44	0.535	0.601	0.38	2	1	0	1	0	Unique Path #61 (Original #175): EGFR→ERBB2[C:0.38]; ERBB2→CD44[A:0.95]
1	Unique Path #1 (Original #1): EGFR → ERBB3 → GRB2	0.523	0.585	0.38	2	1	0	1	0	Unique Path #1 (Original #1): EGFR→ERBB3[C:0.38]; ERBB3→GRB2[A:0.90]
2	Unique Path #2 (Original #2): EGFR → SHC1 → GRB2	0.523	0.585	0.38	2	1	0	1	0	Unique Path #2 (Original #2): EGFR→SHC1[C:0.38]; SHC1→GRB2[A:0.90]
12	Unique Path #12 (Original #16): EGFR → ERBB2 → GRB2	0.523	0.585	0.38	2	1	0	1	0	Unique Path #12 (Original #16): EGFR→ERBB2[C:0.38]; ERBB2→GRB2[A:0.90]
45	Unique Path #45 (Original #73): EGFR → SOS1 → PTPN11	0.523	0.585	0.38	2	1	0	1	0	Unique Path #45 (Original #73): EGFR→SOS1[C:0.38]; SOS1→PTPN11[A:0.90]
65	Unique Path #65 (Original #230): EGFR → SOS1 → GRB2	0.523	0.585	0.38	2	1	0	1	0	Unique Path #65 (Original #230): EGFR→SOS1[C:0.38]; SOS1→GRB2[A:0.90]
59	Unique Path #59 (Original #138): EGFR → SHC1 → SRC → CAV1	0.481	0.525	0.38	3	1	0	2	0	Unique Path #59 (Original #138): EGFR→SHC1[C:0.38]; SHC1→SRC[C:0.38]; SRC→CAV1[A:1.00]
6	Unique Path #6 (Original #8): EGFR → SHC1 → ERBB2 → GRB2	0.469	0.507	0.38	3	1	0	2	0	Unique Path #6 (Original #8): EGFR→SHC1[C:0.38]; SHC1→ERBB2[C:0.38]; ERBB2→GRB2[A:0.90]
13	Unique Path #13 (Original #17): EGFR → SHC1 → ERBB4 → GRB2	0.469	0.507	0.38	3	1	0	2	0	Unique Path #13 (Original #17): EGFR→SHC1[C:0.38]; SHC1→ERBB4[C:0.38]; ERBB4→GRB2[A:0.90]
24	Unique Path #24 (Original #30): EGFR → ERBB3 → ERBB4 → GRB2	0.469	0.507	0.38	3	1	0	2	0	Unique Path #24 (Original #30): EGFR→ERBB3[C:0.38]; ERBB3→ERBB4[C:0.38]; ERBB4→GRB2[A:0.90]
26	Unique Path #26 (Original #32): EGFR → SHC1 → SOS1 → GRB2	0.469	0.507	0.38	3	1	0	2	0	Unique Path #26 (Original #32): EGFR→SHC1[C:0.38]; SHC1→SOS1[C:0.38]; SOS1→GRB2[A:0.90]
28	Unique Path #28 (Original #34): EGFR → SHC1 → ERBB3 → GRB2	0.469	0.507	0.38	3	1	0	2	0	Unique Path #28 (Original #34): EGFR→SHC1[C:0.38]; SHC1→ERBB3[C:0.38]; ERBB3→GRB2[A:0.90]
33	Unique Path #33 (Original #43): EGFR → ERBB2 → SHC1 → GRB2	0.469	0.507	0.38	3	1	0	2	0	Unique Path #33 (Original #43): EGFR→ERBB2[C:0.38]; ERBB2→SHC1[C:0.38]; SHC1→GRB2[A:0.90]
36	Unique Path #36 (Original #49): EGFR → ERBB3 → SHC1 → GRB2	0.469	0.507	0.38	3	1	0	2	0	Unique Path #36 (Original #49): EGFR→ERBB3[C:0.38]; ERBB3→SHC1[C:0.38]; SHC1→GRB2[A:0.90]
