pathway_id	pathway	pathway_score	geomean	min_edge_score	n_edges	grade_A	grade_B	grade_C	grade_D	edge_details
23	Unique Path #23 (Original #31): EGFR → ERBB2 → GRB2 → LAT → PLCG1	0.595	0.687	0.38	4	2	1	1	0	Unique Path #23 (Original #31): EGFR→ERBB2[C:0.38]; ERBB2→GRB2[A:0.90]; GRB2→LAT[B:0.65]; LAT→PLCG1[A:1.00]
14	Unique Path #14 (Original #20): EGFR → ERBB2 → SRC → CAV1	0.553	0.627	0.38	3	1	1	1	0	Unique Path #14 (Original #20): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→CAV1[A:1.00]
18	Unique Path #18 (Original #26): EGFR → ERBB2 → SRC → SHC1	0.538	0.606	0.38	3	1	1	1	0	Unique Path #18 (Original #26): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→SHC1[A:0.90]
32	Unique Path #32 (Original #45): EGFR → ERBB2 → ERBB3 → GRB2	0.538	0.606	0.38	3	1	1	1	0	Unique Path #32 (Original #45): EGFR→ERBB2[C:0.38]; ERBB2→ERBB3[B:0.65]; ERBB3→GRB2[A:0.90]
44	Unique Path #44 (Original #76): EGFR → ERBB2 → SRC → GRB2	0.538	0.606	0.38	3	1	1	1	0	Unique Path #44 (Original #76): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→GRB2[A:0.90]
57	Unique Path #57 (Original #230): EGFR → ERBB2 → GRB2 → LCP2 → PLCG1	0.534	0.6	0.38	4	2	0	2	0	Unique Path #57 (Original #230): EGFR→ERBB2[C:0.38]; ERBB2→GRB2[A:0.90]; GRB2→LCP2[C:0.38]; LCP2→PLCG1[A:1.00]
1	Unique Path #1 (Original #1): EGFR → ERBB3 → GRB2	0.523	0.585	0.38	2	1	0	1	0	Unique Path #1 (Original #1): EGFR→ERBB3[C:0.38]; ERBB3→GRB2[A:0.90]
2	Unique Path #2 (Original #2): EGFR → SHC1 → GRB2	0.523	0.585	0.38	2	1	0	1	0	Unique Path #2 (Original #2): EGFR→SHC1[C:0.38]; SHC1→GRB2[A:0.90]
8	Unique Path #8 (Original #10): EGFR → ERBB3 → PIK3R1	0.523	0.585	0.38	2	1	0	1	0	Unique Path #8 (Original #10): EGFR→ERBB3[C:0.38]; ERBB3→PIK3R1[A:0.90]
10	Unique Path #10 (Original #14): EGFR → ERBB2 → GRB2	0.523	0.585	0.38	2	1	0	1	0	Unique Path #10 (Original #14): EGFR→ERBB2[C:0.38]; ERBB2→GRB2[A:0.90]
37	Unique Path #37 (Original #54): EGFR → ERBB2 → GRB2 → IRS1 → PIK3R1	0.523	0.585	0.38	4	2	0	2	0	Unique Path #37 (Original #54): EGFR→ERBB2[C:0.38]; ERBB2→GRB2[A:0.90]; GRB2→IRS1[C:0.38]; IRS1→PIK3R1[A:0.90]
