pathway_id	pathway	pathway_score	geomean	min_edge_score	n_edges	grade_A	grade_B	grade_C	grade_D	edge_details
77	Unique Path #77 (Original #227): EGFR → PTPN11 → GAB2	0.934	0.949	0.9	2	2	0	0	0	Unique Path #77 (Original #227): EGFR→PTPN11[A:0.90]; PTPN11→GAB2[A:1.00]
55	Unique Path #55 (Original #89): EGFR → PTPN11	0.9	0.9	0.9	1	1	0	0	0	Unique Path #55 (Original #89): EGFR→PTPN11[A:0.90]
38	Unique Path #38 (Original #52): EGFR → PTPN11 → GAB1	0.73	0.765	0.65	2	1	1	0	0	Unique Path #38 (Original #52): EGFR→PTPN11[A:0.90]; PTPN11→GAB1[B:0.65]
80	Unique Path #80 (Original #277): EGFR → PTPN11 → PDGFRB → SRC	0.702	0.724	0.65	3	1	2	0	0	Unique Path #80 (Original #277): EGFR→PTPN11[A:0.90]; PTPN11→PDGFRB[B:0.65]; PDGFRB→SRC[B:0.65]
63	Unique Path #63 (Original #113): EGFR → SOS1 → PTPN11 → GAB2	0.604	0.699	0.38	3	2	0	1	0	Unique Path #63 (Original #113): EGFR→SOS1[C:0.38]; SOS1→PTPN11[A:0.90]; PTPN11→GAB2[A:1.00]
70	Unique Path #70 (Original #160): EGFR → ERBB2 → SRC → CAV1	0.553	0.627	0.38	3	1	1	1	0	Unique Path #70 (Original #160): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→CAV1[A:1.00]
73	Unique Path #73 (Original #175): EGFR → ERBB2 → SRC → BCAR1 → CRK	0.546	0.617	0.38	4	1	2	1	0	Unique Path #73 (Original #175): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→BCAR1[B:0.65]; BCAR1→CRK[A:0.90]
18	Unique Path #18 (Original #18): EGFR → SOS1 → PTPN11 → GAB1	0.538	0.606	0.38	3	1	1	1	0	Unique Path #18 (Original #18): EGFR→SOS1[C:0.38]; SOS1→PTPN11[A:0.90]; PTPN11→GAB1[B:0.65]
26	Unique Path #26 (Original #28): EGFR → ERBB2 → SRC → SHC1	0.538	0.606	0.38	3	1	1	1	0	Unique Path #26 (Original #28): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→SHC1[A:0.90]
35	Unique Path #35 (Original #46): EGFR → ERBB2 → CD44	0.535	0.601	0.38	2	1	0	1	0	Unique Path #35 (Original #46): EGFR→ERBB2[C:0.38]; ERBB2→CD44[A:0.95]
79	Unique Path #79 (Original #232): EGFR → SOS1 → ABI1	0.535	0.601	0.38	2	1	0	1	0	Unique Path #79 (Original #232): EGFR→SOS1[C:0.38]; SOS1→ABI1[A:0.95]
29	Unique Path #29 (Original #35): EGFR → SOS1 → GRB2 → ABL1 → CRK	0.523	0.585	0.38	4	2	0	2	0	Unique Path #29 (Original #35): EGFR→SOS1[C:0.38]; SOS1→GRB2[A:0.90]; GRB2→ABL1[C:0.38]; ABL1→CRK[A:0.90]
31	Unique Path #31 (Original #37): EGFR → ERBB2 → GRB2	0.523	0.585	0.38	2	1	0	1	0	Unique Path #31 (Original #37): EGFR→ERBB2[C:0.38]; ERBB2→GRB2[A:0.90]
44	Unique Path #44 (Original #63): EGFR → SHC1 → GRB2 → ABL1 → CRK	0.523	0.585	0.38	4	2	0	2	0	Unique Path #44 (Original #63): EGFR→SHC1[C:0.38]; SHC1→GRB2[A:0.90]; GRB2→ABL1[C:0.38]; ABL1→CRK[A:0.90]
48	Unique Path #48 (Original #72): EGFR → SOS1 → PTPN11	0.523	0.585	0.38	2	1	0	1	0	Unique Path #48 (Original #72): EGFR→SOS1[C:0.38]; SOS1→PTPN11[A:0.90]
54	Unique Path #54 (Original #82): EGFR → ERBB3 → GRB2 → ABL1 → CRK	0.523	0.585	0.38	4	2	0	2	0	Unique Path #54 (Original #82): EGFR→ERBB3[C:0.38]; ERBB3→GRB2[A:0.90]; GRB2→ABL1[C:0.38]; ABL1→CRK[A:0.90]
56	Unique Path #56 (Original #95): EGFR → ERBB2 → GRB2 → ABL1 → CRK	0.523	0.585	0.38	4	2	0	2	0	Unique Path #56 (Original #95): EGFR→ERBB2[C:0.38]; ERBB2→GRB2[A:0.90]; GRB2→ABL1[C:0.38]; ABL1→CRK[A:0.90]
58	Unique Path #58 (Original #100): EGFR → ERBB3 → PIK3R1	0.523	0.585	0.38	2	1	0	1	0	Unique Path #58 (Original #100): EGFR→ERBB3[C:0.38]; ERBB3→PIK3R1[A:0.90]
1	Unique Path #1 (Original #1): EGFR → ERBB2 → SRC → CAV1 → CAVIN1	0.501	0.554	0.38	4	1	1	2	0	Unique Path #1 (Original #1): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→CAV1[A:1.00]; CAV1→CAVIN1[C:0.38]
32	Unique Path #32 (Original #38): EGFR → SOS1 → GRB2 → ERBB2 → SRC	0.491	0.539	0.38	4	1	1	2	0	Unique Path #32 (Original #38): EGFR→SOS1[C:0.38]; SOS1→GRB2[A:0.90]; GRB2→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]
53	Unique Path #53 (Original #81): EGFR → SHC1 → GRB2 → ERBB2 → SRC	0.491	0.539	0.38	4	1	1	2	0	Unique Path #53 (Original #81): EGFR→SHC1[C:0.38]; SHC1→GRB2[A:0.90]; GRB2→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]
62	Unique Path #62 (Original #109): EGFR → ERBB3 → GRB2 → ERBB2 → SRC	0.491	0.539	0.38	4	1	1	2	0	Unique Path #62 (Original #109): EGFR→ERBB3[C:0.38]; ERBB3→GRB2[A:0.90]; GRB2→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]
10	Unique Path #10 (Original #10): EGFR → SHC1 → SRC → CAV1	0.481	0.525	0.38	3	1	0	2	0	Unique Path #10 (Original #10): EGFR→SHC1[C:0.38]; SHC1→SRC[C:0.38]; SRC→CAV1[A:1.00]
11	Unique Path #11 (Original #11): EGFR → SHC1 → GRB2 → ERBB2	0.469	0.507	0.38	3	1	0	2	0	Unique Path #11 (Original #11): EGFR→SHC1[C:0.38]; SHC1→GRB2[A:0.90]; GRB2→ERBB2[C:0.38]
64	Unique Path #64 (Original #118): EGFR → SHC1 → GRB2 → ERBB4	0.469	0.507	0.38	3	1	0	2	0	Unique Path #64 (Original #118): EGFR→SHC1[C:0.38]; SHC1→GRB2[A:0.90]; GRB2→ERBB4[C:0.38]
71	Unique Path #71 (Original #169): EGFR → PTPN11 → SOS1 → SHC1	0.469	0.507	0.38	3	1	0	2	0	Unique Path #71 (Original #169): EGFR→PTPN11[A:0.90]; PTPN11→SOS1[C:0.38]; SOS1→SHC1[C:0.38]
17	Unique Path #17 (Original #17): EGFR → ERBB2 → ERBB3	0.462	0.497	0.38	2	0	1	1	0	Unique Path #17 (Original #17): EGFR→ERBB2[C:0.38]; ERBB2→ERBB3[B:0.65]
76	Unique Path #76 (Original #195): EGFR → ERBB2 → SRC	0.462	0.497	0.38	2	0	1	1	0	Unique Path #76 (Original #195): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]
7	Unique Path #7 (Original #7): EGFR → ERBB2 → SHC1 → SRC → CAV1	0.453	0.484	0.38	4	1	0	3	0	Unique Path #7 (Original #7): EGFR→ERBB2[C:0.38]; ERBB2→SHC1[C:0.38]; SHC1→SRC[C:0.38]; SRC→CAV1[A:1.00]
13	Unique Path #13 (Original #13): EGFR → SOS1 → SHC1 → SRC → CAV1	0.453	0.484	0.38	4	1	0	3	0	Unique Path #13 (Original #13): EGFR→SOS1[C:0.38]; SOS1→SHC1[C:0.38]; SHC1→SRC[C:0.38]; SRC→CAV1[A:1.00]
60	Unique Path #60 (Original #102): EGFR → ERBB3 → SHC1 → SRC → CAV1	0.453	0.484	0.38	4	1	0	3	0	Unique Path #60 (Original #102): EGFR→ERBB3[C:0.38]; ERBB3→SHC1[C:0.38]; SHC1→SRC[C:0.38]; SRC→CAV1[A:1.00]
6	Unique Path #6 (Original #6): EGFR → ERBB2 → GRB2 → ERBB4 → SHC1	0.444	0.471	0.38	4	1	0	3	0	Unique Path #6 (Original #6): EGFR→ERBB2[C:0.38]; ERBB2→GRB2[A:0.90]; GRB2→ERBB4[C:0.38]; ERBB4→SHC1[C:0.38]
9	Unique Path #9 (Original #9): EGFR → SOS1 → GRB2 → ERBB2 → ERBIN	0.444	0.471	0.38	4	1	0	3	0	Unique Path #9 (Original #9): EGFR→SOS1[C:0.38]; SOS1→GRB2[A:0.90]; GRB2→ERBB2[C:0.38]; ERBB2→ERBIN[C:0.38]
19	Unique Path #19 (Original #19): EGFR → ERBB3 → GRB2 → ERBB4 → SHC1	0.444	0.471	0.38	4	1	0	3	0	Unique Path #19 (Original #19): EGFR→ERBB3[C:0.38]; ERBB3→GRB2[A:0.90]; GRB2→ERBB4[C:0.38]; ERBB4→SHC1[C:0.38]
23	Unique Path #23 (Original #23): EGFR → ERBB3 → GRB2 → ERBB2 → SHC1	0.444	0.471	0.38	4	1	0	3	0	Unique Path #23 (Original #23): EGFR→ERBB3[C:0.38]; ERBB3→GRB2[A:0.90]; GRB2→ERBB2[C:0.38]; ERBB2→SHC1[C:0.38]
30	Unique Path #30 (Original #36): EGFR → SHC1 → GRB2 → ERBB2 → ERBIN	0.444	0.471	0.38	4	1	0	3	0	Unique Path #30 (Original #36): EGFR→SHC1[C:0.38]; SHC1→GRB2[A:0.90]; GRB2→ERBB2[C:0.38]; ERBB2→ERBIN[C:0.38]
45	Unique Path #45 (Original #64): EGFR → ERBB3 → GRB2 → ERBB2 → ERBIN	0.444	0.471	0.38	4	1	0	3	0	Unique Path #45 (Original #64): EGFR→ERBB3[C:0.38]; ERBB3→GRB2[A:0.90]; GRB2→ERBB2[C:0.38]; ERBB2→ERBIN[C:0.38]
61	Unique Path #61 (Original #104): EGFR → SOS1 → GRB2 → ERBB4 → SHC1	0.444	0.471	0.38	4	1	0	3	0	Unique Path #61 (Original #104): EGFR→SOS1[C:0.38]; SOS1→GRB2[A:0.90]; GRB2→ERBB4[C:0.38]; ERBB4→SHC1[C:0.38]
75	Unique Path #75 (Original #182): EGFR → SOS1 → GRB2 → ERBB2 → SHC1	0.444	0.471	0.38	4	1	0	3	0	Unique Path #75 (Original #182): EGFR→SOS1[C:0.38]; SOS1→GRB2[A:0.90]; GRB2→ERBB2[C:0.38]; ERBB2→SHC1[C:0.38]
39	Unique Path #39 (Original #53): EGFR → SHC1 → ERBB2 → SRC	0.432	0.454	0.38	3	0	1	2	0	Unique Path #39 (Original #53): EGFR→SHC1[C:0.38]; SHC1→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]
57	Unique Path #57 (Original #96): EGFR → ERBB2 → ERBB3 → SHC1	0.432	0.454	0.38	3	0	1	2	0	Unique Path #57 (Original #96): EGFR→ERBB2[C:0.38]; ERBB2→ERBB3[B:0.65]; ERBB3→SHC1[C:0.38]
81	Unique Path #81 (Original #300): EGFR → ERBB3 → ERBB2 → SRC	0.432	0.454	0.38	3	0	1	2	0	Unique Path #81 (Original #300): EGFR→ERBB3[C:0.38]; ERBB3→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]
28	Unique Path #28 (Original #34): EGFR → ERBB3 → SHC1 → ERBB2 → SRC	0.418	0.435	0.38	4	0	1	3	0	Unique Path #28 (Original #34): EGFR→ERBB3[C:0.38]; ERBB3→SHC1[C:0.38]; SHC1→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]
40	Unique Path #40 (Original #55): EGFR → ERBB2 → ERBB3 → SHC1 → SRC	0.418	0.435	0.38	4	0	1	3	0	Unique Path #40 (Original #55): EGFR→ERBB2[C:0.38]; ERBB2→ERBB3[B:0.65]; ERBB3→SHC1[C:0.38]; SHC1→SRC[C:0.38]
52	Unique Path #52 (Original #80): EGFR → ERBB2 → ERBB3 → ERBB4 → SHC1	0.418	0.435	0.38	4	0	1	3	0	Unique Path #52 (Original #80): EGFR→ERBB2[C:0.38]; ERBB2→ERBB3[B:0.65]; ERBB3→ERBB4[C:0.38]; ERBB4→SHC1[C:0.38]
68	Unique Path #68 (Original #134): EGFR → SOS1 → SHC1 → ERBB2 → SRC	0.418	0.435	0.38	4	0	1	3	0	Unique Path #68 (Original #134): EGFR→SOS1[C:0.38]; SOS1→SHC1[C:0.38]; SHC1→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]
2	Unique Path #2 (Original #2): EGFR → ERBB3 → ERBB4 → SHC1	0.38	0.38	0.38	3	0	0	3	0	Unique Path #2 (Original #2): EGFR→ERBB3[C:0.38]; ERBB3→ERBB4[C:0.38]; ERBB4→SHC1[C:0.38]
3	Unique Path #3 (Original #3): EGFR → ERBB3 → SHC1 → ERBB2 → ERBIN	0.38	0.38	0.38	4	0	0	4	0	Unique Path #3 (Original #3): EGFR→ERBB3[C:0.38]; ERBB3→SHC1[C:0.38]; SHC1→ERBB2[C:0.38]; ERBB2→ERBIN[C:0.38]
4	Unique Path #4 (Original #4): EGFR → ERBB3 → SHC1 → SRC	0.38	0.38	0.38	3	0	0	3	0	Unique Path #4 (Original #4): EGFR→ERBB3[C:0.38]; ERBB3→SHC1[C:0.38]; SHC1→SRC[C:0.38]
8	Unique Path #8 (Original #8): EGFR → SHC1 → ERBB3	0.38	0.38	0.38	2	0	0	2	0	Unique Path #8 (Original #8): EGFR→SHC1[C:0.38]; SHC1→ERBB3[C:0.38]
12	Unique Path #12 (Original #12): EGFR → SOS1 → SHC1 → SRC	0.38	0.38	0.38	3	0	0	3	0	Unique Path #12 (Original #12): EGFR→SOS1[C:0.38]; SOS1→SHC1[C:0.38]; SHC1→SRC[C:0.38]
14	Unique Path #14 (Original #14): EGFR → SHC1 → SRC	0.38	0.38	0.38	2	0	0	2	0	Unique Path #14 (Original #14): EGFR→SHC1[C:0.38]; SHC1→SRC[C:0.38]
15	Unique Path #15 (Original #15): EGFR → ERBB2 → SHC1	0.38	0.38	0.38	2	0	0	2	0	Unique Path #15 (Original #15): EGFR→ERBB2[C:0.38]; ERBB2→SHC1[C:0.38]
