pathway_id	pathway	pathway_score	geomean	min_edge_score	n_edges	grade_A	grade_B	grade_C	grade_D	edge_details
8	Unique Path #8 (Original #11): EGFR → ERBB2 → SRC → HSP90AA1	0.494	0.544	0.38	3	0	2	1	0	Unique Path #8 (Original #11): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→HSP90AA1[B:0.65]
7	Unique Path #7 (Original #10): EGFR → ERBB2 → SRC → BCAR1 → TLN1	0.462	0.497	0.38	4	0	2	2	0	Unique Path #7 (Original #10): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→BCAR1[B:0.65]; BCAR1→TLN1[C:0.38]
18	Unique Path #18 (Original #27): EGFR → ERBB2 → SRC → HSP90AA1 → STUB1	0.462	0.497	0.38	4	0	2	2	0	Unique Path #18 (Original #27): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→HSP90AA1[B:0.65]; HSP90AA1→STUB1[C:0.38]
32	Unique Path #32 (Original #65): EGFR → ERBB2 → SRC → BCAR1 → CRKL	0.462	0.497	0.38	4	0	2	2	0	Unique Path #32 (Original #65): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→BCAR1[B:0.65]; BCAR1→CRKL[C:0.38]
33	Unique Path #33 (Original #69): EGFR → ERBB2 → SRC → HSP90AA1 → ESR1	0.462	0.497	0.38	4	0	2	2	0	Unique Path #33 (Original #69): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→HSP90AA1[B:0.65]; HSP90AA1→ESR1[C:0.38]
40	Unique Path #40 (Original #95): EGFR → ERBB2 → SRC → BCAR1 → VCL	0.462	0.497	0.38	4	0	2	2	0	Unique Path #40 (Original #95): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→BCAR1[B:0.65]; BCAR1→VCL[C:0.38]
42	Unique Path #42 (Original #113): EGFR → ERBB2 → SRC → ESR1 → HSP90AA1	0.462	0.497	0.38	4	0	2	2	0	Unique Path #42 (Original #113): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→ESR1[B:0.65]; ESR1→HSP90AA1[C:0.38]
48	Unique Path #48 (Original #245): EGFR → ERBB2 → SRC	0.462	0.497	0.38	2	0	1	1	0	Unique Path #48 (Original #245): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]
10	Unique Path #10 (Original #13): EGFR → ERBB2 → SRC → HSP90AA1 → STUB1 → BAG3	0.444	0.471	0.38	5	0	2	3	0	Unique Path #10 (Original #13): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→HSP90AA1[B:0.65]; HSP90AA1→STUB1[C:0.38]; STUB1→BAG3[C:0.38]
11	Unique Path #11 (Original #15): EGFR → ERBB2 → SRC → HSP90AA1 → STUB1 → HSPA4	0.444	0.471	0.38	5	0	2	3	0	Unique Path #11 (Original #15): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→HSP90AA1[B:0.65]; HSP90AA1→STUB1[C:0.38]; STUB1→HSPA4[C:0.38]
12	Unique Path #12 (Original #16): EGFR → ERBB2 → SRC → BCAR1 → VCL → TLN1	0.444	0.471	0.38	5	0	2	3	0	Unique Path #12 (Original #16): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→BCAR1[B:0.65]; BCAR1→VCL[C:0.38]; VCL→TLN1[C:0.38]
16	Unique Path #16 (Original #24): EGFR → ERBB2 → SRC → BCAR1 → VCL → TLN2	0.444	0.471	0.38	5	0	2	3	0	Unique Path #16 (Original #24): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→BCAR1[B:0.65]; BCAR1→VCL[C:0.38]; VCL→TLN2[C:0.38]
17	Unique Path #17 (Original #25): EGFR → ERBB2 → SRC → BCAR1 → VCL → ACTN1	0.444	0.471	0.38	5	0	2	3	0	Unique Path #17 (Original #25): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→BCAR1[B:0.65]; BCAR1→VCL[C:0.38]; VCL→ACTN1[C:0.38]
19	Unique Path #19 (Original #28): EGFR → ERBB2 → SRC → BCAR1 → VCL → ZYX	0.444	0.471	0.38	5	0	2	3	0	Unique Path #19 (Original #28): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→BCAR1[B:0.65]; BCAR1→VCL[C:0.38]; VCL→ZYX[C:0.38]
20	Unique Path #20 (Original #30): EGFR → ERBB2 → SRC → BCAR1 → VCL → VASP	0.444	0.471	0.38	5	0	2	3	0	Unique Path #20 (Original #30): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→BCAR1[B:0.65]; BCAR1→VCL[C:0.38]; VCL→VASP[C:0.38]
24	Unique Path #24 (Original #37): EGFR → ERBB2 → SRC → BCAR1 → VCL → SORBS1	0.444	0.471	0.38	5	0	2	3	0	Unique Path #24 (Original #37): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→BCAR1[B:0.65]; BCAR1→VCL[C:0.38]; VCL→SORBS1[C:0.38]
25	Unique Path #25 (Original #41): EGFR → ERBB2 → SRC → ESR1 → HSP90AA1 → STUB1	0.444	0.471	0.38	5	0	2	3	0	Unique Path #25 (Original #41): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→ESR1[B:0.65]; ESR1→HSP90AA1[C:0.38]; HSP90AA1→STUB1[C:0.38]
34	Unique Path #34 (Original #70): EGFR → ERBB2 → SRC → HSP90AA1 → STUB1 → HSPA8	0.444	0.471	0.38	5	0	2	3	0	Unique Path #34 (Original #70): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→HSP90AA1[B:0.65]; HSP90AA1→STUB1[C:0.38]; STUB1→HSPA8[C:0.38]
43	Unique Path #43 (Original #116): EGFR → ERBB2 → SRC → BCAR1 → VCL → CTNNA1	0.444	0.471	0.38	5	0	2	3	0	Unique Path #43 (Original #116): EGFR→ERBB2[C:0.38]; ERBB2→SRC[B:0.65]; SRC→BCAR1[B:0.65]; BCAR1→VCL[C:0.38]; VCL→CTNNA1[C:0.38]
4	Unique Path #4 (Original #4): EGFR → SHC1 → SRC → HSP90AA1	0.432	0.454	0.38	3	0	1	2	0	Unique Path #4 (Original #4): EGFR→SHC1[C:0.38]; SHC1→SRC[C:0.38]; SRC→HSP90AA1[B:0.65]
1	Unique Path #1 (Original #1): EGFR → SHC1 → SRC → HSP90AA1 → STUB1	0.418	0.435	0.38	4	0	1	3	0	Unique Path #1 (Original #1): EGFR→SHC1[C:0.38]; SHC1→SRC[C:0.38]; SRC→HSP90AA1[B:0.65]; HSP90AA1→STUB1[C:0.38]
3	Unique Path #3 (Original #3): EGFR → SHC1 → SRC → ESR1 → HSP90AA1	0.418	0.435	0.38	4	0	1	3	0	Unique Path #3 (Original #3): EGFR→SHC1[C:0.38]; SHC1→SRC[C:0.38]; SRC→ESR1[B:0.65]; ESR1→HSP90AA1[C:0.38]
